x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database,category
14.572329,14.726952,16031,1.0,I,I-E,10.0,benchmark,I
7.5747013,1.3660358,16032,1.0,I,I-F,6.0,benchmark,I
14.550909,14.739887,16033,1.0,I,I-E,10.0,benchmark,I
14.554913,14.738688,16034,1.0,I,I-E,10.0,benchmark,I
-4.3088455,3.5207055,16035,1.0,I,I-E,13.0,benchmark,I
18.008162,7.951295,16036,1.0,I,I-E,19.0,benchmark,I
6.7811837,-2.1157227,16037,1.0,I,I-E,16.0,benchmark,I
7.6139755,1.3986804,16038,1.0,I,I-F,6.0,benchmark,I
14.582334,14.72823,16039,1.0,I,I-E,9.0,benchmark,I
7.5037827,1.4000702,16040,1.0,I,I-F,6.0,benchmark,I
14.554323,14.737962,16041,1.0,I,I-E,10.0,benchmark,I
7.588625,1.383177,16042,1.0,I,I-F,6.0,benchmark,I
13.984809,8.656594,16043,1.0,I,I-F,6.0,benchmark,I
8.858382,11.374448,16044,1.0,I,I-C,11.0,benchmark,I
7.0091705,20.384829,16045,2.0,II,II-A,5.0,benchmark,II
15.914693,11.145952,16046,1.0,I,I-E,8.0,benchmark,I
18.79298,6.3389306,16047,2.0,II,II-A,4.0,benchmark,II
11.938846,8.206741,16048,1.0,I,I-B,8.0,benchmark,I
5.1182504,14.629746,16049,1.0,III,III-B,17.0,benchmark,III
12.352505,13.203905,16050,2.0,II,II-D,1.0,benchmark,II
-8.509081,20.851545,16051,1.0,I,I-E,8.0,benchmark,I
-0.23896559,10.01828,16052,1.0,I,I-C,12.0,benchmark,I
6.8495393,6.606112,16053,1.0,I,I-E,7.0,benchmark,I
-4.207008,2.7150097,16054,1.0,I,I-E,12.0,benchmark,I
-1.4279727,3.6459088,16055,1.0,I,I-E,14.0,benchmark,I
-1.411435,3.6736848,16056,1.0,I,I-E,14.0,benchmark,I
-4.9395123,3.504565,16057,1.0,I,I-E,12.0,benchmark,I
-4.939781,3.5028234,16058,1.0,I,I-E,12.0,benchmark,I
-3.9101458,2.3981977,16059,1.0,I,I-E,12.0,benchmark,I
-3.90271,3.8551338,16060,1.0,I,I-E,13.0,benchmark,I
-3.3471103,12.7266,16061,1.0,III,III-B,11.0,flsh,III
-3.4173622,12.7398205,16062,1.0,III,III-B,9.0,flsh,III
8.62218,9.278505,16063,1.0,I,I-D,9.0,flsh,I
10.444136,11.133437,16064,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,Not-Annotated-By-Cctyper
-3.106156,12.912984,16065,1.0,III,III-B,5.0,flsh,III
-3.0929992,12.856184,16066,1.0,III,III-B,7.0,flsh,III
4.888025,-7.5624022,16067,1.0,I,I-E,13.0,benchmark,I
6.880763,4.193728,16068,1.0,I,I-E,10.0,flsh,I
6.8668265,4.1860933,16069,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,15.0,flsh,Not-Annotated-By-Cctyper
6.5003414,7.906105,16070,1.0,I,I-F,6.0,flsh,I
-2.8801584,9.548604,16071,1.0,I,I-B,6.0,flsh,I
8.408659,12.7611685,16072,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,17.0,flsh,Not-Annotated-By-Cctyper
6.579375,19.983654,16073,2.0,II,II-A,4.0,benchmark,II
7.8435597,-2.1955278,16074,1.0,I,I-E,12.0,benchmark,I
6.08406,4.083268,16075,1.0,I,I-E,11.0,benchmark,I
-0.362939,21.737738,16076,1.0,I,I-B,8.0,benchmark,I
13.754877,8.495953,16077,1.0,I,I-F,7.0,benchmark,I
1.9095002,-3.7799325,16078,1.0,I,I-E,11.0,benchmark,I
-0.21934962,9.755716,16079,1.0,I,I-C,7.0,benchmark,I
10.337464,17.720997,16080,1.0,I,I-C,8.0,benchmark,I
5.6045976,19.14275,16081,2.0,II,II-A,4.0,benchmark,II
